Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
Gospel songs no. 2 : designed for use in Christian work and worship,"Taylor, Austin; Showalter, G. H. P.","Austin, TX",Firm Foundation Pub. House,,,19??,Y,,,unpaged,20,,Church of Christ?,Round,English,Sacred,Y?,Y?,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,UK; Emory,UK,Y,,,Y,"Needs research to determine likely date, but most books from this publisher issued bef. 1925"
"Gospel trumpet, The : for revivals, protracted and tent meetings","Shaw, Knowles","Cincinnati, OH",John Church,,,1875,,,,25,19,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Emory,Emory,Y,,,,
"Grace and glory : a choice collection of sacred songs, original and selected for Sabbath-schools, revivals, etc.","Dortch, D. E.; Cunnyngham, W. G. E.","Nashville, TN",Southern Methodist Publishing House,,,1885,,,,160,15,18,"Methodist (MEC,S)",Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,Emory,Emory,Y,,,,
"Great awakening, The : a choice collection of new and standard gospel songs","Jones, Sam P.","Cincinnati, OH",John Church Co.,,,1886,Y,,,160,20,,"Methodist (MEC,S)",Round,English,Sacred,Y,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,SBTS; Emory; MTSU?,SBTS,Y,Y,Y,,"Prepared under the personal supervision of Rev. Sam. P. Jones, for use in all gospel meetings. Jones was an MEC,S preacher from GA."
"Great songs of the church : a comprehensive collection of Psalms, hymns, and spiritual songs of the first class, suitable for all services of the church, alphabetically arranged","Jorgenson, E. L.","Louisville, KY",The Word and Work,,,1925,,,,450 nos.,21,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Hackleman's male gospel quartets,"Hackleman, W. E. M.","St. Louis, MO",Christian Board of Publication,,,1901,Y,,,46,20,,,Round,English,Sacred,Y,,,,,Y?,,,,,,,,,,,,,,,,Y?,,,,,,,Emory,Emory,Y,,,,
"Hallowed Songs: Designed for Prayer-Meetings, Young Men's Christian Associations, Sunday-Schools, Religious Meetings, Family Worship, Praise Meetings, etc.","Phillips, Philip","Cincinnati, OH; Chicago, IL; St. Louis, MO; New York, NY; Roscommon, MI (KUK copy providence)","Hitchcock & Walden (Cincinnati, OH; Chicago, IL; St. Louis, Mo) and Philip Phillips & Nelson & Phillips (New York, NY)",,,1874,Y,,,316,14,12,,Round,English,Sacred,Y,,,,,,,,Y,,,,Y,,,,,,,,,Y,,,,,,Y,KUK (B6 uncataloged Lair); Emory,Lair collection,Y,,,Y,
"Ham-Ramsay revival hymns, The : a collection of high class Gospel music for use in evangelistic meetings, church services, Sunday school and young people's societies","Ramsay, William J.; Ham, M. F.","Chattanooga, TN",W. J. Ramsay,,,1915,Y,,,256,21,,,Round,English,Sacred,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,SBTS; MTSU?,SBTS,,Y,Y,,
Happy greetings to all,"Dortch, D. E.?","Charlotte, NC",Dortch Publishing Co.,,,1916,,,,unpaged,20,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Harp of Zion,"Sherwood, W. Henry","Petersburg, VA",Sherwood Orphan School,,,1893,Y,,,144,22,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,
"Harvest bells nos. 1, 2 and 3 combined is filled with new and beautiful songs suitable for churches, Sunday-schools, revivals and all religious meetings","Penn, W. E.; Lincoln, H. N.","St. Louis, MO; Lexington, KY",W. E. Penn,,,1894,Y,,,416,19,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,UK; SBTS,UK,,,Y,Y,UK copy provenance: Lexington Theological Seminary
"Harvest hymns : singable gospel songs for general use in churches, schools, young people's meetings and evangelistic services ; church hymns, revival songs, children's melodies, solos, duets and choruses","Coleman, Robert H.","Dallas, TX",Coleman,,,1924,,,(Shaped note ed.),264,21,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,Y,,Emory; MTSU?,Emory,Y,Y,,,Unknown whether MTSU copies are round or shaped note ed. or both
"Harvest of song, The : a collection of sacred and secular music, for elementary and advanced singing classes, choirs, institutes and conventions","Case, C. C.","Cincinnati, OH",J. Church,,,1878,,,,191,17,25,,Round,English,Mixed,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (OPAC),,Y,,,
Heart hymns ...,"Judefind, W. B.; Judefind, A. L.","Baltimore, MD",Judefind Bros.,,,1912,,,,unpaged,22,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Hearts and voices : a choice collection of new sacred music suitable for Sunday schools, social worship and camp meetings","Sanders, Harry; Grape, John T.","Baltimore, MD",Methodist Episcopal Book-Room,,,1874,,,,32,12,16,Methodist (MEC?),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,Y,,United Theological Seminary; Newberry Library,OCLC,,,,,
"Heavenly carols : for the sabbath-school, praise-service, prayer-meeting, etc.","Baltzell, I.","Dayton, OH",W. J. Shuey,,,1878,,,,176,14,18,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (OPAC),,Y,,,
Heavenly praises,"Olsen, J. O.; Harris, Thoro","Chicago, IL",Thoro Harris,,,192?,Y,,,262,20,,Assembly of God?,Round,English,Sacred,Y?,Y?,,,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,,SBTS; Emory,SBTS,Y,,Y,,Compiled by J.O. Olsen [and] Thoro Harris for evangelist John Goben. Research needed to determine date.
"Herald, The","Coleman, Robert H.","Dallas, TX",Robert H. Coleman,,,1915,,,Round note ed.,224,20,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,SBTS; Emory,SBTS,Y,,Y,,
"Highway hymnal, The : interdenominational, a collection covering every phase of church and Sunday school work","Tillman, Charlie D.","Atlanta, GA",C. Tillman Song Book Co.,,,1919,Y,,,approx. 300,20,,Interdenominational,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,"One Emory copy imperfect, other apparently fine"
Himnario cristiano para uso de las iglesias evangélicas,?,"Nashville, TN","Methodist Episcopal Church, South",Smith y Lamar,,1908,,,Premier millar,"292, 62",23,,"Methodist (MEC,S)",Round,Spanish,Sacred,Y,,,,,,Y,,,,,,,Y,Y?,,Y?,,,,,,,,,,,,Emory; Duke University Libraries; Methodist Theological School; Southern Methodist University; Drew University Library; Southwestern University; Glendale Library Arts & Culture; Anderson University; Whitworth University Library; Vanderbilt University Library; Columbia University in the City of New York,OCLC,,,,,
Himnario cristiano para uso de las iglesias evangélicas,?,"Nashville, TN","Smith y Lamar, agentes",,,1920,,,Cuarto millar,"292, 68",23,,"Methodist (MEC,S)?",Round,Spanish,Sacred,Y,,,,,,Y,,,,,,,Y,Y?,,Y?,,,,,,,,,,,,Emory,Emory,Y,,,,
Himnario cristiano para uso de las iglesias evangélicas,?,"Nashville, TN","Methodist Episcopal Church, South","Smith y Lamar, agentes",,1920,,,Cuarto millar,"292, 68",23,,"Methodist (MEC,S)",Round,Spanish,Sacred,Y,,,,,,Y,,,,,,,Y,Y?,,Y?,,,,,,,,,,,,Drew University,OCLC,,,,,
Himnario de la Iglesia Metodista Episcopal,?,"Mexico City, Mexico",Imprenta de la Iglesia Metodista Episcopal,,,1881,,,Ed. con música,190,18,,Methodist (MEC),Round,Spanish,Sacred,Y,,,,,,Y,,,,,,,,Y?,,Y?,,Y,,,,,,,,,,Emory,Emory,Y,,,,
"Himnario evangélico, El : para el uso de todas las iglesia",?,"New York, NY",Sociedad Americana de Tratados,,,1895,Y,,,369,21,,,Round,Spanish,Sacred,Y,,,,,,,,Y?,,,,,,Y,,Y?,,,Y,,,,,,,,Y,Emory,Emory,Y,,,,
"Himnario provisional con los cánticos : según el uso de la Iglesia Episcopal Americana, para congregaciones españoles","Van Buren, James H.","Philadelphia, PA",J. C. Winston,,,1907,Y,,,"approx. 150, 27",21,,Episcopal,Round,Spanish,Sacred,Y,,,,,,Y,,Y?,,,,,,Y?,,Y?,,,Y,,,,,,,,,Emory,Emory,Y,,,,
His praise in song,"Harris, Thoro; Richey, Raymond T.; Richey, A. J.","Houston, TX",Raymond T. Richey,,,1922,Y,,,180,20,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,SBTS; MTSU?,SBTS,,Y,Y,,
"Hosannas to the king no. 2 : a book of gospel songs : for the church, Sunday-school, revival, singing class and singing convention","Dean, Emmett S.; Edmiaston, B. B.","Waco, TX",The Trio Music Company,,,19??,Y,,,unpaged,20,,,Round,English,Sacred,Y?,Y?,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,SBTS,SBTS,,,Y,,Needs research to determine date
"Hosiannah! : eine Sammlung von 130 Reichsliedern, die den Einzug des Königs der Ehren in seine Stadt feiern und metbereiten helfen sollen","Lange, Richard","Cincinnati, OH",Jennings & Graham,,,1904,Y,,,130 nos.,21,,,Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claremont School of Theology,OCLC,,,,,
"Hymn and tune book of the Methodist Episcopal Church, South",?,"Nashville, TN","Publishing house of the Methodist Episcopal Church, South",,"Barbee & Smith, agents",1895,,,Round note ed.,559,22,,"Methodist (MEC,S)",Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Hymnal : Fifth International Convention, Student Volunteer Movement, Nashville, Tennessee, February 28 to March 4, 1906",?,"Nashville, TN",?,,,1906,,,,88,18,,,Round,English,Sacred,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,,,,,,,Y,Emory,Emory,Y,,,,
"Hymnal and vesperal for the seasons and principal festivals of the ecclesiastical year, A","Gibbons, James","Baltimore, MD","Kelly, Piet",,,1878,,,,198,19,,Catholic (Roman),Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia Tech; McGill University; Dallas Theological Seminary,OCLC,,,,,
Hymns and tunes for prayer and social meetings,"Robinson, George C.","Cincinnati, OH",Poe & Hitchcock,,,1868,,,,155,17,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y?,,,,,,,,Emory,Emory,Y,,,,
"Hymns for Jubilate Day program of the Odeon, St. Louis, Mo., May 18, 1913",?,"St. Louis, MO?","Southern Baptist Convention, Woman's Missionary Union",,,1913,,,,12,27,,Baptist (SBC),Round,English,Sacred,Y,,,,,,Y,,,,Y?,,,,Y,,,Y,,,,,,,,,,,SBTS,SBTS,,,Y,,"SBTS has note: ""Ms. (mimeograph copies)"""
Hymns of hope,"Harris, Thoro","Chicago, IL",T. Harris,,,1922,Y,,,214 nos.,20,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,Y,,,Y,,,,,,,,,Emory,Emory,Y,,,,
Hymns of hope : a collection of appropriate hymns for funeral and other occasions,"Meacham, Edgar James","Cincinnati, OH",Standard,,,1911,,,,245,18,,Disciples of Christ,Round,English,Sacred,Y,,,,,,Y?,,,,,,,,,,,,,,,,,,,,,,SBTS; UK,SBTS,,,Y,Y,
Hymns of hope : a collection of appropriate hymns for funeral and other occasions,"Meacham, Edgar James","Cincinnati, OH",The Standard Publishing Company,,,1917,,,,245,17,,Disciples of Christ,Round,English,Sacred,Y,,,,,,Y?,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Hymns of praise, number two : for the church and Sunday school","Kingsbury, F. G.; Tuttle, Wallace","St. Louis, MO",Christian Board of Publication,,,1925,,,,12 vols.,?,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y?,,,,,Y,,SBTS,SBTS,,,Y,,Vocal score with fourteen instrumental partbooks
"Hymns of the cross, The","Ramsay, William J.","Chattanooga, TN",Wm. H. Ramsay?,,,1918,Y,,,53,19,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBTS,SBTS,,,Y,,
Hymns of the faith : standard hymns and selected Gospel songs with responsive Scripture readings for use in all departments of the church and Bible school and in all kinds of religious services,"Excell, E. O.; Smither, A. C.","St. Louis, MO",Christian Board of Publication,,,1918,Y,,,320,22,,Disciples of Christ,Round,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,SBTS; Emory,SBTS,Y,,Y,,
"Hymns of victory : ... heart-moving solos, inspiring praise songs, new and stirring invitation songs, pathetic rescue and missionary songs, standard pieces, old and new, a timely collection for revivals, conventions, camp-meetings, Sunday schools, social meetings, and regular church worship","Dortch, D. E.; Midyett, J. C.; Smithers, T. H.; Cooper, W. G.; Bentley, W. W.; Judefind, W. B.; Emerson, R. R.; Luzader, M. M.","Columbia, TN; Cincinnati, OH; Baltimore MD; New York, NY; Louisville, KY; Hamburg, IA",Dortch Pub. Co.,Armstrong Ptg. Co.,,1905,,,,300,21,,Baptist?,Round,English,Sacred,Y,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,Emory; MTSU?,Emory,Y,Y,,,
I'll never turn back no more,"Dett, R. Nathaniel; Miller, Dola","New York, NY",J. Fischer & Bro.,,,1918,,,,8,?,,,Round,English,Sacred,Y,,,,,,,,,Y,,,,,,,Y,,,Y,,Y,,,,,,,Wheaton College,OCLC,,,,,
Immanuels-Sängerbund : 100 Festgesänge für Männerchöre,"Kunz, J. G.","St. Louis, MO",Lutherischer Concordia,,,1888,,,,140,27,,Lutheran (Missouri Synod),Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concordia Seminary; Bowling Green State University; United Lutheran Seminary,OCLC,,,,,
"In his name, series no. 1 : for Sunday-schools, churches, young people's societies, and social worship",?,"Baltimore, MD",Emma Pitt Publishing Company,,,1893,,,,128,20,,,Round,English,Sacred,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
Institute hymns and songs,"Hare, Howard","New York, NY; Cincinnati, OH",Methodist Book Concern,,,1925,Y,,,56,21,,Methodist (MEC),Round,English,Sacred,Y,,,,,,Y,,Y,,,,,,,,,,,Y,Y,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
"Jehovah's praise : a choice collection of hymns and gospel songs for church, Sunday School, Young People's meeting, and revival work","Reynolds, I. E.; McKinney, B. B.","Ft. Worth, TX",Southwestern Press,,,1925,,,,unpaged,21,,Baptist?,Round,English,Sacred,Y,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,Y,,SBTS; MTSU?,SBTS,,Y,Y,,
"Jesus songs : compiled, edited and published for the express purpose of supporting a missionary by the Pentecostal Missionary Band",?,"Nashville, TN",For the Pentecostal Missionary Band,,"James H. Yeaman, agt.",1906,,,,unpaged,20,,Pentecostal,Round,English,Sacred,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Jewish hymns for Sabbath-schools and families : (English and German),"Hecht, Simon","Cincinnati, OH",American Hebrew Pub. House,Bloch Print. Co.,,1891,,,,55,18,,Jewish (Reform),Round,German; English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,Peabody Conservatory; University of Denver,OCLC,,,,,Apparently written partly in response to a prize offered by the Union of American Hebrew Congregations for the best hymnal suitable for sabbath schools
"Joy to the world, or, Sacred songs for gospel meetings","O'Kane, T. C.; McCabe, C. C.; Sweney, John Robson","Cincinnati, OH; New York, NY",Hitchcock & Walden; Phillips & Hunt,,,1879,,,,128,18,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Emory,Emory,Y,,Y,Y,
"Joyful praises : for church, Sunday school, young people's meetings, singing conventions, singing classes, etc.","Ruebush, Will H.; Woods, J. S.; Vestal, A. M.; Galusha, M. T.","Dayton, VA",Ruebush-Kieffer Co.,,,1912,Y,,,128,20,,,Round,English,Sacred,?,Y?,,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,,Emory; MTSU,Emory,Y,Y,,,MTSU local catalog record supplies likely date from bibliography
Joyful songs of salvation,"Harris, J. M.; Harris, M. J.","Louisville, KY",The Pentecostal Publishing Co.,,,1903,,,,unpaged,21,,Pentecostal,Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory; MTSU?,Emory,Y,Y,,,
"Jubilee and plantation songs : characteristic favorites, as sung by the Hampton students, Jubilee Singers, Fisk University students, and other companies, also, a number of new and pleasing selections",?,"Boston, MA; Hampton, VA; Nashville, TN",Oliver Ditson,,,1887,,,,80,27,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y?,,,Y,,Y?,,,,Y,,,SBTS; Emory,SBTS,Y,,Y,,Emory record lists as 25cm
"Jubilee Singers, The : and their campaign for twenty thousand dollars","Pike, Gustavus D.","Nashville, TN; Boston, MA; New York, NY","Lee and Shepard; Lee, Shepard and Dillingham",,,1873,,,,219,21,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,Y?,,,,Y,,,SBTS,SBTS,,,Y,,
Jubilee songs,?,?,?,,,1900,Y,,,16,28,,,Round,English,Mixed,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,University of Illinois at Urbana Champaign; Brigham Young University; Virginia Union University,OCLC,,,,,"By Ferguson's Dixie Jubilee Concert Company; undated, ca. turn of century; group was active till 1915 or so"
Jubilee songs,?,?,?,,,18??,Y,,,16,27,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,Brigham Young University; University of Illinois at Urbana Champaign; Grand Valley State University; Emory University,OCLC,Y,,,,Purportedly a copy in Woodruff--did not show up in Emory catalog searches
"Jubilee songs : as sung by the Jubilee singers of Fisk university (Nashville, Tenn.) under the auspices of the American Missionary Association","Seward, Theodore F.?; White, George L.?","New York, NY",Biglow & Main,,,1872,Y,,,28,25,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,Y?,,,,Y,,,Emory,Emory,Y,,,,
Jubilee songs and plantation melodies,"Sawyer, J. J.","Nashville, TN; Chicago, IL",H. B. Thearle?,,,1885,,,,"11, 5",26,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,Y,,,"University of Colorado Boulder; University of Mississippi; University of Alabama; Claremont Colleges; University of California, Davis; Buffalo and Erie County Public Library; University of Oregon Libraries; City University of New York; Queens College; Brown University; Wesleyan University",OCLC,,,,,As sung by the Original Nashville Students
Jubilee songs and plantation melodies : words and music,"Sawyer, J. J.; Seward, Theodore Freylinghuysen","Chicago, IL",Redpath Lyceum Bureau,,,1897,Y,,,16,27,,Program of the 17th season; catalog record gives publication date as 1684!,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,Y?,,Y,,,,,,Y,,,California State Library; University at Albany,OCLC,,,,,
Junior programs and songs,"Smith, Mrs. Clay E.","Nashville, TN",Smith & Lamar,,,1922,,,,95,24,,"Methodist (MEC,S)?",Round,English,Sacred,Y,,,,,,Y?,,,,Y,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
"Katholisches Gesang- u. Gebetbuch : eine Auswahl der vorzüglichen Choräle und Kirchenlieder : für zwei Stimmen gesetzt, mit den gewöhnlichen Andachtsübungen",?,"Cincinnati, OH",Verlag des Verfassers,,,1860,,,3rd ed.,206,18,,Catholic (Roman rite),Round,German,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Westminster Choir College,OCLC,,,,,
"King of kings, The : a choice collection of gospel songs, standard hymns, choruses, children's songs, solos, duets and quartets, together with responsive readings, for use in evangelistic meetings, church services and the Sunday school ...",?,"St. Louis, MO; Indianapolis, IN",Christian Board of Pub.,Hackleman Music Co.,,1915,Y,,,256,20,,Disciples of Christ?,Round,English,Sacred,Y,,,,,,Y,,,,,,Y,Y,Y,,,,,,,,,,,,Y,,SBTS,SBTS,,,Y,,
King of the cross,"Clark, F. A.","Philadelphia, PA",Hall-Mack Co.,,,1916,,,,15,22,,,Round,English,Sacred,Y,,,,,,,,,,Y,,,Y,,,Y,,,Y,,,,,,,,,Howard University; Library of Congress,OCLC,,,,,"Not sheet music, but rather a very small topical collection"
Kleine Missionsharfe : im Kirchen- und Volkston festliche und ausserfestliche Kreise,?,"St. Louis, MO",L. Volkening,,,1878,,,15th ed.,138,17,,,Round,German,Sacred,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Washington University in St. Louis; Pittsburg State University; Concordia University; Boston University,OCLC,,,,,
"Kleine Psalter, Der : Erbauungslieder für ben Gebrauch in Gebetstunden, Lagerversammlungen, u.s.w.",?,"Cincinnati, OH; New York, NY",Cranston & Stowe; Phillips & Hunt,,,1876,,,Revised ed.,"144, 31, 1",16,,Methodist?,Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Ohio Wesleyan University,OCLC,,,,,
"Kleine Psalter, Der : Erbauungslieder für ben Gebrauch in Gebetstunden, Lagerversammlungen, u.s.w.",?,"Cincinnati, OH; New York, NY",Hitchcock & Walden; Phillips & Hunt,,,1880,,,Revised ed.,144,16,,Methodist?,Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Ohio Wesleyan University,OCLC,,,,,
"Kleine Psalter, Der : Erbauungslieder für ben Gebrauch in Gebetstunden, Lagerversammlungen, u.s.w.",?,"Cincinnati, OH",Cranston & Stowe,,,1884,,,Revised ed.,176,16,,,Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,SBTS; Ohio Wesleyan University,SBTS,,,Y,,"Incipit melodies only; SBTS copy bound with ""Anhang zum kleinen Psalter,"" Hoboken, NJ, 1885"
"Kol zimroh : a hymn book : for Temples and Sabbath schools, and adapted for choirs and congregational singing","Goldstein, Morris","Cincinnati, OH",Bloch,,,1885,,,,144,26,,Jewish (Reform),Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,HUC; JHP; SFR; J9U,OCLC,,,,,"For cantor, unison or 4-part chorus, and organ; words in English. Includes traditional melodies and others written or arranged by Mr. Goldstein."
"Kyriale, or ordinary of the mass; a complete liturgical manual with Gregorian chants in modern notation for the use of Catholic choirs and congregations, containing the kyrie, gloria, credo, sanctus, agnus dei, etc., according to the different feasts and Sundays of the year, and masses and obsequies for the dead, with an appendix including the hymns, psalms, anthems, litanies, and prayers for the exposition, during the exposition, and at the benediction of the most blessed sacrament",?,"Baltimore, MD",J. Murphy,,,1857,Y,,9th ed.,276,19,,Catholic (Roman),Round,Latin,Sacred,Y,,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,University of Iowa,OCLC,,,,,
"Kyriale, or ordinary of the mass; a complete liturgical manual with Gregorian chants in modern notation for the use of Catholic choirs and congregations, containing the kyrie, gloria, credo, sanctus, agnus dei, etc., according to the different feasts and Sundays of the year, and masses and obsequies for the dead, with an appendix including the hymns, psalms, anthems, litanies, and prayers for the exposition, during the exposition, and at the benediction of the most blessed sacrament",?,"Baltimore, MD",J. Murphy,,,1857,Y,,10th ed.,"51, 40",19,,Catholic (Roman),Round,Latin,Sacred,Y,,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,Pittsburgh Theological SEminary,OCLC,,,,,
"Kyriale, or ordinary of the mass; a complete liturgical manual with Gregorian chants in modern notation for the use of Catholic choirs and congregations, containing the kyrie, gloria, credo, sanctus, agnus dei, etc., according to the different feasts and Sundays of the year, and masses and obsequies for the dead, with an appendix including the hymns, psalms, anthems, litanies, and prayers for the exposition, during the exposition, and at the benediction of the most blessed sacrament",?,"Baltimore, MD",J. Murphy,,,1860,,,2nd ed.,"47, 46",20,,Catholic (Roman),Round,Latin,Sacred,Y,,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,Catholic University of America; St. Patrick's Seminary and University,OCLC,,,,,
"Kyriale, or ordinary of the mass; a complete liturgical manual with Gregorian chants in modern notation for the use of Catholic choirs and congregations, containing the kyrie, gloria, credo, sanctus, agnus dei, etc., according to the different feasts and Sundays of the year, and masses and obsequies for the dead, with an appendix including the hymns, psalms, anthems, litanies, and prayers for the exposition, during the exposition, and at the benediction of the most blessed sacrament",?,"Baltimore, MD",J. Murphy,,,1867,,,2nd ed.,"47, 46",20,,Catholic (Roman),Round,Latin,Sacred,Y,,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,Saint Meinrad Seminary & School of Theology; Columbia University in the City of New York,OCLC,,,,,
Lederbüchlein für untere Classen und gemischte Schulen,?,"St. Louis, MO","Evang.=Luth. Synode von Missouri, Ohio u.a. Staaten","Druckerei der Synode von Missouri, Ohio u.a. Staaten",,1882,Y,,,64,19,,Lutheran (Missouri Synod),Round,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,University of Missouri-Kansas City,OCLC,,,,,
"Lieder für Kinder Gottes zur Erbauung, Ermahnung und Einladung",?,"Moundsville, WV",Gospel Trumpet,,,1899,,,,187,21,,Church of God Anderson?,Round,German,Sacred,Y,,,,,,Y?,,,,,,,,,,,,,,,,,,,,Y,,Anderson University; University of Kansas,OCLC,,,,,
"Lieder zum viertehalbhundertjährigen Reformations-Jubiläum : am 31. October 1867, dem evangelisch-lutherischen Zion in Amerika gewidmet","Fick, Hermann","St. Louis, MO",Aug. Wiebusch u. Sohn,,,1867,,,,16,15,,Lutheran (Missouri Synod),Round,German,Sacred,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Office of Commonwealth Libraries; United Lutheran Seminary,OCLC,,,,,
Lieder-Perlen: eine Sammlung,?,"St. Louis, MO",Concordia Publishing House,,,1894,,,,"179, 72",14,19,Lutheran (Missouri Synod),Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (OPAC),,Y,,,
Liederbüchlein für untere Classen und gemischte Schulen,?,"St. Louis, MO",Concordia Publishing House,,,1892,,,,64,19,,Lutheran (Missouri Synod),Round,German,Mixed?,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Newberry Library; Yale University,OCLC,,,,,
"Liederlust : eine Sammlung vierstimmiger Lieder : für Gemischten Chor, sowie für Clavier oder Melodien = Begleitung",?,"St. Louis, MO",Rudolph Volkening,,,1900,Y,,,"128, 14",15,53,Lutheran?,Round,German; English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Anderson University; Bethany Lutheran College,OCLC,,,,,
Liederlust und Psalter,"Liebhart, H.","Cincinnati, OH",Walden und Stowe,,,1882,,,,200,21,,Restorationist?,Round,German,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
